id,date,port_name,fuel_type,price_usd_per_mt
1,2021-01-01,Singapore,VLSFO,486.75
2,2021-01-01,Singapore,LSMGO,614.51
3,2021-01-01,Singapore,IFO380,349.63
4,2021-01-01,Fujairah,VLSFO,469.03
5,2021-01-01,Fujairah,LSMGO,621.18
6,2021-01-01,Fujairah,IFO380,330.97
7,2021-01-01,Rotterdam,VLSFO,457.58
8,2021-01-01,Rotterdam,LSMGO,574.07
9,2021-01-01,Rotterdam,IFO380,329.94
10,2021-01-01,Visakhapatnam,VLSFO,513.02
11,2021-01-01,Visakhapatnam,LSMGO,703.0
12,2021-01-01,Visakhapatnam,IFO380,369.86
13,2021-01-01,Houston,VLSFO,458.67
14,2021-01-01,Houston,LSMGO,565.37
15,2021-01-01,Houston,IFO380,323.34
16,2021-01-04,Singapore,VLSFO,482.28
17,2021-01-04,Singapore,LSMGO,619.57
18,2021-01-04,Singapore,IFO380,348.26
19,2021-01-04,Fujairah,VLSFO,472.19
20,2021-01-04,Fujairah,LSMGO,621.53
21,2021-01-04,Fujairah,IFO380,340.49
22,2021-01-04,Rotterdam,VLSFO,464.94
23,2021-01-04,Rotterdam,LSMGO,580.28
24,2021-01-04,Rotterdam,IFO380,332.43
25,2021-01-04,Visakhapatnam,VLSFO,500.9
26,2021-01-04,Visakhapatnam,LSMGO,697.59
27,2021-01-04,Visakhapatnam,IFO380,362.63
28,2021-01-04,Houston,VLSFO,447.39
29,2021-01-04,Houston,LSMGO,549.02
30,2021-01-04,Houston,IFO380,322.11
31,2021-01-05,Singapore,VLSFO,470.66
32,2021-01-05,Singapore,LSMGO,605.79
33,2021-01-05,Singapore,IFO380,337.62
34,2021-01-05,Fujairah,VLSFO,463.14
35,2021-01-05,Fujairah,LSMGO,603.45
36,2021-01-05,Fujairah,IFO380,329.31
37,2021-01-05,Rotterdam,VLSFO,452.1
38,2021-01-05,Rotterdam,LSMGO,582.09
39,2021-01-05,Rotterdam,IFO380,324.93
40,2021-01-05,Visakhapatnam,VLSFO,513.81
41,2021-01-05,Visakhapatnam,LSMGO,708.15
42,2021-01-05,Visakhapatnam,IFO380,375.72
43,2021-01-05,Houston,VLSFO,447.84
44,2021-01-05,Houston,LSMGO,547.68
45,2021-01-05,Houston,IFO380,316.94
46,2021-01-06,Singapore,VLSFO,482.69
47,2021-01-06,Singapore,LSMGO,624.11
48,2021-01-06,Singapore,IFO380,343.86
49,2021-01-06,Fujairah,VLSFO,469.14
50,2021-01-06,Fujairah,LSMGO,604.74
51,2021-01-06,Fujairah,IFO380,336.6
52,2021-01-06,Rotterdam,VLSFO,449.49
53,2021-01-06,Rotterdam,LSMGO,562.06
54,2021-01-06,Rotterdam,IFO380,333.64
55,2021-01-06,Visakhapatnam,VLSFO,514.93
56,2021-01-06,Visakhapatnam,LSMGO,710.66
57,2021-01-06,Visakhapatnam,IFO380,365.74
58,2021-01-06,Houston,VLSFO,450.74
59,2021-01-06,Houston,LSMGO,545.77
60,2021-01-06,Houston,IFO380,321.78
61,2021-01-07,Singapore,VLSFO,485.76
62,2021-01-07,Singapore,LSMGO,618.81
63,2021-01-07,Singapore,IFO380,356.23
64,2021-01-07,Fujairah,VLSFO,466.99
65,2021-01-07,Fujairah,LSMGO,615.29
