id,cargo_type,commodity,quantity,origin,destination_port_id,laycan_start,laycan_end,contract_preference,required_vessel_type,loading_date,discharge_deadline,priority,contract_type,freight_rate,currency,charter_duration,special_requirements,created_at
1,Thermal Coal,Indonesian High Calorie Coal,79400,"Tanjung Priok, Indonesia",9,2021-08-15,2021-08-22,Spot,Panamax,2021-08-17,2021-09-06,Normal,Spot,12.88,USD,20,Standard,2021-08-07T00:00:00Z
2,Limestone,SMS Grade Limestone,73600,"Newcastle, Australia",2,2025-05-03,2025-05-08,Spot,Panamax,2025-05-05,2025-06-03,Normal,Spot,23.09,USD,30,Standard,2025-04-12T00:00:00Z
3,Coking Coal,Hard Coking Coal,70400,"Baltimore, USA",1,2023-01-16,2023-01-23,Spot,Panamax,2023-01-21,2023-03-09,Normal,Spot,37.67,USD,50,Standard,2023-01-03T00:00:00Z
4,Limestone,SMS Grade Limestone,77200,"Samarinda, Indonesia",2,2025-11-25,2025-12-02,Spot,Panamax,2025-11-26,2025-12-16,Urgent,Spot,16.78,USD,20,Standard,2025-11-15T00:00:00Z
5,Coking Coal,Semi-Soft Coking Coal,56700,"Tanjung Priok, Indonesia",2,2021-08-28,2021-09-02,CoA,Supramax,2021-08-31,2021-09-20,High,CoA,14.34,USD,20,Standard,2021-08-21T00:00:00Z
6,Limestone,Calcined Lime,80100,"Baltimore, USA",2,2023-01-15,2023-01-20,CoA,Panamax,2023-01-17,2023-03-05,High,CoA,40.37,USD,50,Standard,2022-12-26T00:00:00Z
7,Thermal Coal,Non-Coking Coal Grade G1-G5,74600,"Vostochny, Russia",4,2021-06-10,2021-06-17,Spot,Panamax,2021-06-16,2021-08-04,High,Spot,38.1,USD,50,Standard,2021-05-29T00:00:00Z
8,Iron Ore,Iron Ore Fines 62% Fe,57400,"Samarinda, Indonesia",2,2025-03-06,2025-03-11,Spot,Supramax,2025-03-09,2025-03-30,Normal,Spot,16.58,USD,20,Low moisture cargo,2025-02-06T00:00:00Z
9,Coking Coal,Hard Coking Coal,61400,"Maputo, Mozambique",8,2021-06-04,2021-06-18,Spot,Supramax,2021-06-15,2021-08-02,Normal,Spot,38.18,USD,50,Fast discharge required,2021-05-11T00:00:00Z
10,Limestone,SMS Grade Limestone,65100,"Vostochny, Russia",4,2025-01-05,2025-01-15,Spot,Panamax,2025-01-08,2025-02-25,Normal,Spot,40.21,USD,50,Standard,2024-12-16T00:00:00Z
11,Limestone,SMS Grade Limestone,78100,"Maputo, Mozambique",1,2026-01-03,2026-01-10,Spot,Panamax,2026-01-08,2026-03-02,Normal,Spot,39.66,USD,50,Standard,2025-12-09T00:00:00Z
12,Coking Coal,Semi-Soft Coking Coal,80600,"Baltimore, USA",2,2024-01-12,2024-01-17,Spot,Panamax,2024-01-16,2024-03-08,Normal,Spot,37.42,USD,50,Standard,2023-12-20T00:00:00Z
13,Coking Coal,Hard Coking Coal,72100,"Port Hedland, Australia",2,2021-02-02,2021-02-09,Spot,Panamax,2021-02-05,2021-03-07,High,Spot,24.0,USD,30,Self-unloader preferred,2021-01-18T00:00:00Z
14,Limestone,Calcined Lime,79700,"Baltimore, USA",3,2026-01-08,2026-01-13,CoA,Panamax,2026-01-11,2026-03-04,Normal,CoA,34.82,USD,50,Fast discharge required,2025-12-15T00:00:00Z
15,Coking Coal,Hard Coking Coal,71400,"Maputo, Mozambique",9,2022-04-15,2022-04-25,CoA,Panamax,2022-04-24,2022-06-14,Normal,CoA,41.7,USD,50,Standard,2022-03-30T00:00:00Z
16,Coking Coal,Hard Coking Coal,60400,"Baltimore, USA",1,2021-06-27,2021-07-04,CoA,Supramax,2021-06-28,2021-08-14,Normal,CoA,39.59,USD,50,Standard,2021-05-31T00:00:00Z
17,Coking Coal,Semi-Soft Coking Coal,67200,"Port Hedland, Australia",1,2022-02-14,2022-02-21,Spot,Panamax,2022-02-19,2022-03-21,Normal,Spot,24.77,USD,30,Standard,2022-01-21T00:00:00Z
18,Coking Coal,PCI Coal,78600,"Baltimore, USA",2,2021-01-28,2021-02-04,Spot,Panamax,2021-02-01,2021-03-23,Normal,Spot,36.47,USD,50,Standard,2021-01-05T00:00:00Z
19,Thermal Coal,Indonesian High Calorie Coal,69400,"Baltimore, USA",3,2025-04-17,2025-04-24,Spot,Panamax,2025-04-21,2025-06-11,High,Spot,37.69,USD,50,Self-unloader preferred,2025-04-01T00:00:00Z
20,Iron Ore,Iron Ore Pellets,75000,"Newcastle, Australia",1,2024-12-07,2024-12-12,CoA,Panamax,2024-12-10,2025-01-07,Normal,CoA,24.42,USD,30,Standard,2024-11-16T00:00:00Z
21,Coking Coal,Hard Coking Coal,69300,"Norfolk, USA",1,2021-01-08,2021-01-18,Spot,Panamax,2021-01-15,2021-03-06,Normal,Spot,38.59,USD,50,Standard,2020-12-28T00:00:00Z
22,Thermal Coal,Indonesian High Calorie Coal,61000,"Baltimore, USA",1,2024-11-26,2024-12-01,CoA,Supramax,2024-11-30,2025-01-18,Normal,CoA,35.2,USD,50,Standard,2024-11-11T00:00:00Z
23,Iron Ore,Lump Ore,77100,"Tanjung Priok, Indonesia",2,2024-06-29,2024-07-04,Spot,Panamax,2024-07-02,2024-07-23,High,Spot,16.05,USD,20,Standard,2024-06-05T00:00:00Z
24,Thermal Coal,Indonesian High Calorie Coal,76100,"Norfolk, USA",1,2024-02-16,2024-02-26,Spot,Panamax,2024-02-19,2024-04-08,Normal,Spot,36.88,USD,50,Standard,2024-01-25T00:00:00Z
25,Coking Coal,PCI Coal,54400,"Vostochny, Russia",1,2022-11-03,2022-11-10,CoA,Supramax,2022-11-04,2022-12-24,Urgent,CoA,40.74,USD,50,Standard,2022-10-05T00:00:00Z
26,Limestone,SMS Grade Limestone,76300,"Baltimore, USA",1,2024-09-10,2024-09-17,Spot,Panamax,2024-09-11,2024-10-29,Normal,Spot,38.57,USD,50,Standard,2024-08-17T00:00:00Z
27,Coking Coal,Semi-Soft Coking Coal,172400,"Vostochny, Russia",4,2022-06-21,2022-06-26,CoA,Capesize,2022-06-25,2022-08-11,Normal,CoA,31.63,USD,50,Standard,2022-05-29T00:00:00Z
28,Iron Ore,Iron Ore Fines 62% Fe,71400,"Vostochny, Russia",2,2023-08-01,2023-08-06,Spot,Panamax,2023-08-02,2023-09-18,High,Spot,38.61,USD,50,Self-unloader preferred,2023-07-22T00:00:00Z
29,Coking Coal,PCI Coal,60800,"Norfolk, USA",1,2024-08-10,2024-08-20,CoA,Supramax,2024-08-16,2024-10-03,High,CoA,38.38,USD,50,Standard,2024-07-30T00:00:00Z
30,Coking Coal,Semi-Soft Coking Coal,52200,"Baltimore, USA",5,2023-01-12,2023-01-17,Spot,Supramax,2023-01-14,2023-03-05,Urgent,Spot,36.31,USD,50,Standard,2022-12-22T00:00:00Z
31,Limestone,Calcined Lime,60400,"Baltimore, USA",2,2023-02-11,2023-02-16,Spot,Supramax,2023-02-15,2023-04-03,Normal,Spot,37.46,USD,50,Self-unloader preferred,2023-01-26T00:00:00Z
32,Thermal Coal,Non-Coking Coal Grade G1-G5,75400,"Tanjung Priok, Indonesia",2,2022-06-11,2022-06-25,Spot,Panamax,2022-06-13,2022-07-01,Urgent,Spot,12.52,USD,20,Standard,2022-05-26T00:00:00Z
33,Thermal Coal,Indonesian High Calorie Coal,72100,"Baltimore, USA",4,2025-09-21,2025-09-26,CoA,Panamax,2025-09-22,2025-11-08,Normal,CoA,35.54,USD,50,Standard,2025-09-05T00:00:00Z
