vessel_id,vessel_name,vessel_class,vessel_type,dwt,capacity,length,beam,draft,age,build_year,engine_power,fuel_type,fuel_consumption,cruising_speed,max_speed,flag,owner_operator,current_port_id,operational_status,availability_date,reliability_score
V0001,Pacific Sunrise,Handysize,Handysize,26777,34222,173.4,27.8,9.11,5,2021,6282,VLSFO,23.54,13.0,14.9,Marshall Islands,Adani Shipping,3,At Anchor,2026-03-05,0.903
V0002,Steel Voyager,Handysize,Handysize,25090,30498,171.8,27.2,9.28,10,2016,6318,VLSFO,20.09,12.3,14.5,India,Eagle Bulk,15,Underway,2026-02-28,0.872
V0003,Bunga Explorer,Handysize,Handysize,31396,39696,179.9,28.5,9.74,12,2014,6905,VLSFO,22.2,13.3,14.9,Liberia,Pacific Basin,15,At Berth,2026-02-25,0.807
V0004,Ocean Explorer,Handysize,Handysize,31368,39234,180.2,27.8,9.8,9,2017,7050,VLSFO,19.82,12.6,14.1,India,Great Eastern Shipping,28,Underway,2026-03-05,0.849
V0005,Diana Jewel,Handysize,Handysize,29140,36865,175.8,28.1,9.63,18,2008,6505,VLSFO,18.57,12.0,14.2,Panama,Oldendorff Carriers,13,Underway,2026-03-19,0.773
V0006,Steel Express,Handysize,Handysize,19752,24808,160.5,26.0,9.02,15,2011,6064,VLSFO,25.2,13.5,15.7,Panama,Berge Bulk,24,At Berth,2026-03-06,0.817
V0007,Eagle Leader,Handysize,Handysize,35132,43921,184.1,28.8,10.22,8,2018,7141,VLSFO,16.22,12.2,14.1,Marshall Islands,Tata NYK Shipping,6,At Anchor,2026-03-30,0.913
V0008,Iron Prosperity,Handysize,Handysize,29818,37648,176.2,27.6,9.54,21,2005,7280,VLSFO,23.33,12.8,15.2,Panama,Berge Bulk,10,At Anchor,2026-02-24,0.72
V0009,Star Pride,Handysize,Handysize,20804,25432,162.4,26.0,8.93,7,2019,6310,VLSFO,27.06,13.6,15.2,Liberia,Golden Ocean Group,26,Underway,2026-03-03,0.939
V0010,Samudra Jewel,Handysize,Handysize,28301,34062,174.4,27.6,9.71,11,2015,6146,VLSFO,28.88,13.8,16.0,Marshall Islands,Star Bulk Carriers,14,Underway,2026-03-09,0.852
V0011,Ganga Horizon,Handysize,Handysize,23249,29444,165.5,26.5,9.55,18,2008,5909,VLSFO,21.72,13.0,15.4,India,Jindal Steel & Power,1,Underway,2026-03-05,0.764
V0012,Ocean Pioneer,Handysize,Handysize,20436,24849,163.3,26.2,8.75,4,2022,6018,VLSFO/Scrubber,20.47,12.4,14.0,Cyprus,Genco Shipping,17,At Anchor,2026-03-06,0.943
V0013,Safe Pioneer,Handysize,Handysize,29103,35899,175.8,27.6,9.71,2,2024,7173,LNG Dual Fuel,26.33,13.8,15.8,Panama,Berge Bulk,17,At Berth,2026-03-28,0.943
V0014,Paradip Sunrise,Handysize,Handysize,26251,32454,170.2,27.4,9.11,15,2011,5938,VLSFO,22.59,13.4,15.7,Panama,Pacific Basin,30,At Anchor,2026-03-01,0.835
V0015,Iron Voyager,Handysize,Handysize,23694,28537,167.8,26.6,9.21,17,2009,5902,VLSFO,22.68,13.0,15.2,India,Navios Maritime,6,Underway,2026-03-03,0.762
V0016,Maritime Jewel,Handysize,Handysize,26325,31699,170.5,27.1,9.7,3,2023,5809,VLSFO/Scrubber,27.18,13.9,16.4,Marshall Islands,Pacific Basin,11,At Anchor,2026-03-13,0.942
V0017,Mundra Glory,Handysize,Handysize,25701,31823,171.0,27.4,9.34,11,2015,6788,VLSFO,20.01,12.7,14.6,Singapore,Adani Shipping,16,Underway,2026-03-12,0.874
V0018,Nordic Vanguard,Handysize,Handysize,31051,37977,179.5,28.2,9.86,6,2020,6451,VLSFO,21.74,13.5,15.9,Malta,Adani Shipping,24,At Anchor,2026-02-28,0.923
V0019,Baltic Colossus,Handysize,Handysize,29873,36453,177.6,27.9,9.55,8,2018,6485,VLSFO,23.62,13.3,15.0,Liberia,Navios Maritime,16,At Berth,2026-02-28,0.885
V0020,Samudra Legacy,Handysize,Handysize,20342,25670,165.5,26.5,9.16,7,2019,6054,VLSFO,24.65,13.9,16.2,Malta,Great Eastern Shipping,18,Underway,2026-03-11,0.904
V0021,Ocean Horizon,Handysize,Handysize,29059,35745,174.2,28.0,9.85,2,2024,6862,LNG Dual Fuel,18.86,12.4,14.8,Panama,Eagle Bulk,27,Underway,2026-03-29,0.958
V0022,Diana Fortune,Handysize,Handysize,24038,30762,169.2,27.1,9.0,3,2023,5962,VLSFO/Scrubber,19.13,12.4,14.9,Panama,Golden Ocean Group,15,At Berth,2026-03-01,0.955
V0023,Kaveri Leader,Handysize,Handysize,36212,43604,186.3,29.1,10.23,8,2018,6932,VLSFO,17.43,12.5,14.8,Liberia,Golden Ocean Group,2,Underway,2026-02-27,0.906
V0024,Ocean Titan,Handysize,Handysize,32903,41417,181.0,28.4,9.87,17,2009,6882,VLSFO,25.5,13.3,15.8,Liberia,Navios Maritime,14,Underway,2026-03-02,0.773
V0025,Yamuna Leader,Handysize,Handysize,37600,46841,186.5,29.6,10.33,18,2008,7856,VLSFO,21.55,12.4,14.5,Panama,Adani Shipping,16,Underway,2026-03-30,0.761
V0026,Ocean Dynasty,Handysize,Handysize,24094,29706,167.3,27.2,9.28,12,2014,5632,VLSFO,20.36,13.1,14.9,Marshall Islands,Star Bulk Carriers,19,At Berth,2026-03-20,0.817
V0027,Iron Jewel,Handysize,Handysize,24324,30406,168.3,27.4,9.08,13,2013,6199,VLSFO,27.17,13.4,15.8,Liberia,Berge Bulk,16,Underway,2026-02-25,0.833
V0028,Pacific Legacy,Handysize,Handysize,19111,23413,161.1,26.3,8.83,5,2021,5510,VLSFO/Scrubber,23.07,13.8,15.7,Bahamas,Tata NYK Shipping,15,Underway,2026-03-23,0.909
V0029,Yamuna Titan,Handysize,Handysize,32108,39066,179.3,28.5,9.91,9,2017,7111,VLSFO,21.55,12.4,14.7,Panama,Tata NYK Shipping,13,Underway,2026-03-25,0.868
V0030,Yamuna Pioneer,Handysize,Handysize,27386,32961,172.6,27.4,9.46,16,2010,6629,VLSFO,22.59,12.9,15.0,Marshall Islands,Golden Ocean Group,14,At Berth,2026-03-19,0.793
V0031,Steel Trader,Handysize,Handysize,25332,31376,171.3,27.5,9.46,5,2021,6843,VLSFO,27.91,13.9,16.0,Panama,Jindal Steel & Power,30,At Berth,2026-03-09,0.902
V0032,Baltic Pioneer,Handysize,Handysize,21832,26735,165.1,26.5,9.22,8,2018,5862,VLSFO,20.64,12.6,14.8,Singapore,Berge Bulk,17,In Maintenance,2026-03-21,0.879
V0033,Steel Sunrise,Handysize,Handysize,35336,43966,185.3,29.6,9.95,7,2019,7716,VLSFO,28.16,14.0,15.8,Liberia,Jindal Steel & Power,16,In Maintenance,2026-03-26,0.87
V0034,Safe Fortune,Handysize,Handysize,26231,33160,170.7,27.8,9.33,3,2023,6551,VLSFO,18.59,12.9,14.4,Liberia,Jindal Steel & Power,13,Underway,2026-03-24,0.928
V0035,Indus Explorer,Handysize,Handysize,30437,38173,176.8,28.2,9.85,23,2003,6583,VLSFO,25.25,13.5,15.7,Marshall Islands,Golden Ocean Group,13,Underway,2026-03-15,0.696
V0036,Paradip Legacy,Handysize,Handysize,19696,25208,163.2,25.8,9.08,14,2012,5568,VLSFO,21.4,12.2,14.3,Panama,Oldendorff Carriers,12,Underway,2026-02-28,0.804
V0037,Pacific Trader,Handysize,Handysize,22039,27052,166.1,26.4,9.16,11,2015,5396,VLSFO,23.49,13.5,15.5,Marshall Islands,Jindal Steel & Power,24,At Berth,2026-03-17,0.858
V0038,Bharat Pioneer,Handysize,Handysize,22827,28417,168.0,26.9,9.66,5,2021,5932,VLSFO,22.71,13.1,15.6,Marshall Islands,Star Bulk Carriers,11,At Berth,2026-02-27,0.91
V0039,Global Dynasty,Handysize,Handysize,28254,34137,174.0,28.1,9.17,22,2004,5829,VLSFO,18.9,11.9,13.9,India,Adani Shipping,23,Underway,2026-03-30,0.715
V0040,Global Glory,Handysize,Handysize,26332,31600,171.6,27.7,9.26,10,2016,5968,VLSFO,22.16,12.7,14.6,Panama,Golden Ocean Group,28,Underway,2026-03-19,0.814
V0041,Ganga Fortune,Handysize,Handysize,36607,44369,184.3,28.9,10.38,22,2004,7304,VLSFO,25.28,13.6,15.1,Marshall Islands,Oldendorff Carriers,19,At Anchor,2026-03-13,0.736
V0042,Star Endeavour,Handysize,Handysize,30382,37076,178.1,28.1,9.61,3,2023,6433,VLSFO,28.37,14.1,16.0,Panama,Adani Shipping,21,Underway,2026-03-07,0.969
V0043,Paradip Pioneer,Handysize,Handysize,24929,31326,169.8,27.0,9.1,5,2021,6600,VLSFO/Scrubber,20.75,13.3,14.9,India,Jindal Steel & Power,1,In Maintenance,2026-03-16,0.894
V0044,Iron Master,Handysize,Handysize,35946,43920,185.2,29.1,10.02,22,2004,6919,VLSFO,22.34,12.3,14.5,Panama,Great Eastern Shipping,20,At Berth,2026-03-17,0.737
V0045,Nordic Master,Handysize,Handysize,31552,40344,180.9,28.7,9.86,11,2015,6920,VLSFO,17.91,12.0,14.3,Marshall Islands,Navios Maritime,5,In Maintenance,2026-03-05,0.84
V0046,Baltic Titan,Handysize,Handysize,35179,44279,184.5,28.7,9.75,3,2023,7227,VLSFO,25.46,13.6,15.8,Liberia,Oldendorff Carriers,17,Underway,2026-02-27,0.929
V0047,Diana Horizon,Handysize,Handysize,18462,23465,163.5,26.1,9.19,12,2014,5655,VLSFO,22.93,13.2,15.3,Panama,Berge Bulk,13,Underway,2026-03-07,0.854
V0048,Baltic Fortune,Handysize,Handysize,24789,31241,170.5,26.9,9.05,3,2023,5970,VLSFO,18.66,12.5,14.5,Marshall Islands,Genco Shipping,22,Underway,2026-03-13,0.958
V0049,Maritime Endeavour,Handysize,Handysize,23895,30556,168.1,27.0,9.32,2,2024,5737,VLSFO,18.48,12.4,14.2,India,Great Eastern Shipping,9,Underway,2026-02-27,0.945
V0050,Mundra Champion,Handysize,Handysize,32702,41230,181.3,28.1,10.05,5,2021,7446,LNG Dual Fuel,16.48,12.3,14.7,Panama,Pacific Basin,6,At Berth,2026-03-04,0.928
V0051,Ocean Legacy,Handysize,Handysize,35491,43284,183.0,29.2,10.47,18,2008,6988,VLSFO,26.72,13.6,15.9,India,Berge Bulk,5,At Anchor,2026-02-27,0.759
