weather_id,timestamp,latitude,longitude,port_id,wind_speed,wave_height,visibility,precipitation,storm_probability,cyclone_probability,weather_severity
1,2024-04-20T18:00:00Z,31.1974,121.4121,32,2.0,0.4,9.9,0.6,0.1,0.02,0.07
2,2025-08-28T18:00:00Z,42.6459,132.9053,26,22.5,3.42,9.4,2.0,0.613,0.02,0.562
3,2022-08-16T12:00:00Z,-32.9624,151.8008,17,17.7,2.09,9.6,2.0,0.492,0.02,0.405
4,2021-03-17T12:00:00Z,21.8643,88.0348,6,14.8,2.0,9.6,0.5,0.42,0.02,0.358
5,2021-12-18T06:00:00Z,39.1358,-76.7437,23,18.2,2.49,9.6,0.4,0.505,0.02,0.439
6,2025-02-27T00:00:00Z,-21.4408,149.4326,15,13.5,1.77,9.7,0.3,0.388,0.02,0.324
7,2026-01-03T06:00:00Z,-25.7944,32.5744,24,9.6,1.59,9.7,0.1,0.29,0.02,0.257
8,2023-01-25T06:00:00Z,20.8798,86.9672,4,16.9,1.58,9.7,0.5,0.472,0.02,0.36
9,2025-01-29T12:00:00Z,13.1491,80.3401,8,7.0,0.9,9.8,0.8,0.225,0.02,0.174
10,2023-11-13T12:00:00Z,13.2627,80.2806,9,16.6,2.01,9.6,1.9,0.465,0.02,0.384
11,2025-07-21T06:00:00Z,19.485,85.1548,5,25.8,2.45,5.6,,0.695,0.02,0.544
12,2024-07-24T18:00:00Z,17.8606,83.2521,2,27.8,3.29,9.4,2.3,0.745,0.02,0.628
13,2022-06-02T06:00:00Z,31.152,121.4681,32,9.3,0.98,9.8,0.1,0.283,0.02,0.212
14,2021-07-06T06:00:00Z,18.9486,72.9787,13,37.8,4.49,9.2,18.4,0.98,0.02,0.845
15,2021-03-30T18:00:00Z,13.3126,80.3754,9,5.0,0.99,9.8,0.1,0.175,0.02,0.152
16,2021-09-15T12:00:00Z,17.7782,83.0897,2,33.1,3.8,5.3,6.5,0.878,0.02,0.737
17,2023-11-03T00:00:00Z,7.1242,79.9241,30,11.9,1.1,9.8,0.0,0.348,0.02,0.257
18,2024-02-29T12:00:00Z,-1.4161,116.9819,19,8.0,1.29,9.8,1.4,0.25,0.02,0.214
19,2023-12-12T18:00:00Z,17.6015,83.3057,3,13.7,2.11,9.6,0.5,0.393,0.02,0.35
20,2023-09-06T12:00:00Z,-21.4347,149.1568,15,7.1,0.88,9.8,3.2,0.227,0.02,0.174
21,2023-09-05T00:00:00Z,13.2194,80.3051,9,30.3,3.75,9.3,1.5,0.808,0.02,0.694
22,2024-07-19T06:00:00Z,9.9714,76.3677,14,28.8,3.49,5.4,1.0,0.77,0.02,0.656
23,2025-08-22T00:00:00Z,31.2146,121.4376,32,12.6,1.72,9.7,1.6,0.365,0.02,0.308
24,2022-08-24T00:00:00Z,-19.8275,34.9285,25,18.3,2.18,9.6,0.0,0.508,0.02,0.42
25,2024-03-19T12:00:00Z,20.9316,86.9,4,5.7,0.4,9.9,0.1,0.193,0.02,0.123
26,2021-07-27T12:00:00Z,-25.9701,32.765,24,19.2,2.4,9.6,0.2,0.53,0.02,0.447
27,2025-04-03T12:00:00Z,19.4299,84.9109,5,11.0,1.62,9.7,1.3,0.325,0.02,0.279
28,2023-04-13T18:00:00Z,10.0359,76.3504,14,13.2,1.57,9.7,0.3,0.38,0.02,0.307
29,2025-07-26T00:00:00Z,20.1081,86.6964,1,5.5,0.77,5.9,7.2,0.188,0.02,0.144
30,2025-07-15T18:00:00Z,42.6678,133.1652,26,23.1,2.92,9.5,1.6,0.628,0.02,0.537
31,2023-06-28T12:00:00Z,-32.9219,151.7739,17,11.6,1.18,9.8,0.7,0.34,0.02,0.258
32,2025-07-24T12:00:00Z,13.4355,80.3569,9,27.2,3.01,5.5,5.5,0.73,0.02,0.601
33,2025-05-24T18:00:00Z,-0.447,117.2138,21,14.3,1.8,9.7,0.8,0.408,0.02,0.338
34,2025-12-25T18:00:00Z,23.0004,70.3121,12,12.9,1.94,9.7,0.5,0.372,0.02,0.327
35,2025-06-18T18:00:00Z,8.6735,78.046,10,38.8,5.25,9.1,1.1,0.98,0.02,0.903
36,2024-03-06T06:00:00Z,19.1818,85.1179,5,2.0,0.89,9.8,0.8,0.1,0.02,0.103
37,2024-06-17T12:00:00Z,-0.7054,117.1207,21,10.1,,9.8,0.5,0.302,0.02,0.221
38,2021-07-21T06:00:00Z,20.7518,86.8678,4,21.1,2.9,5.5,0.7,0.578,0.02,0.507
39,2022-07-06T12:00:00Z,22.1204,88.1032,6,13.9,1.41,5.7,7.5,0.398,0.02,0.306
40,2023-03-29T12:00:00Z,-32.8468,151.9036,17,14.9,1.81,9.7,0.9,0.423,0.02,0.347
41,2021-08-20T00:00:00Z,-26.0799,32.7291,24,2.5,0.4,9.9,0.6,0.113,0.02,0.077
42,2021-03-24T00:00:00Z,39.264,-76.7167,23,14.1,0.94,9.8,0.7,0.403,0.02,0.278
43,2021-01-04T18:00:00Z,6.7602,79.7112,30,2.9,0.6,9.9,0.9,0.122,0.02,0.096
44,2022-11-21T06:00:00Z,13.2388,80.3741,9,10.9,2.15,9.6,0.6,0.323,0.02,0.313
45,2024-05-13T06:00:00Z,13.1769,80.3617,8,11.0,1.34,9.8,1.0,0.325,0.02,0.26
46,2024-05-06T18:00:00Z,-6.1629,106.9939,20,2.5,0.89,9.8,1.7,0.113,0.02,0.11
47,2022-04-21T18:00:00Z,1.3807,103.9595,28,2.0,0.4,9.9,0.6,0.1,0.02,0.07
48,2021-07-20T12:00:00Z,12.9895,80.1128,8,16.3,2.5,5.6,2.6,0.458,0.02,0.413
49,2021-07-30T00:00:00Z,19.0821,72.8617,13,29.7,3.74,9.3,6.4,0.793,0.02,0.685
50,2022-02-27T12:00:00Z,39.267,-76.6446,23,11.2,0.9,9.8,0.6,0.33,0.02,0.234
51,2022-11-14T18:00:00Z,22.666,88.3786,7,14.3,1.03,9.8,3.5,0.408,0.02,0.286
52,2026-02-06T06:00:00Z,17.6095,83.3497,3,20.2,1.71,9.7,1.4,0.555,0.02,0.415
53,2021-06-22T06:00:00Z,20.6258,86.9414,4,16.4,2.12,5.6,7.7,0.46,0.02,0.389
54,2024-03-25T12:00:00Z,8.7125,78.1024,10,10.0,1.39,9.7,1.3,0.3,0.02,0.249
55,2022-11-27T00:00:00Z,-0.4696,117.0786,21,11.3,1.06,9.8,0.5,0.333,0.02,0.246
56,2025-11-17T18:00:00Z,36.9758,-76.3836,22,17.0,1.79,9.7,0.8,0.475,0.02,0.375
57,2025-01-18T12:00:00Z,39.2348,-76.6367,23,3.0,0.66,9.9,5.6,0.125,0.02,0.102
58,2024-02-19T06:00:00Z,8.8477,78.4494,10,11.3,1.57,9.7,1.6,0.333,0.02,0.28
59,2022-05-31T12:00:00Z,-23.8587,151.2016,16,20.4,2.49,9.6,0.4,0.56,0.02,0.47
60,2025-01-01T18:00:00Z,-0.4275,117.1491,21,11.7,2.13,9.6,0.0,0.342,0.02,0.323
61,2021-04-26T00:00:00Z,-1.1877,116.6931,19,4.3,0.94,9.8,0.0,0.158,0.02,0.139
62,2023-09-21T00:00:00Z,1.1564,103.8558,28,19.3,2.54,9.5,0.5,0.533,0.02,0.458
63,2022-05-13T18:00:00Z,1.3399,103.6058,28,22.2,3.25,9.4,0.3,0.605,0.02,0.546
64,2025-10-27T06:00:00Z,51.9586,4.4738,31,2.0,0.4,9.9,0.4,0.1,0.02,0.07
